"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"22.07.2024","64.960","64.740","66.000","64.300","1.47M","-0.17%"
"19.07.2024","65.070","63.680","65.250","63.680","1.63M","2.63%"
"18.07.2024","63.400","64.350","64.920","63.230","1.22M","-1.72%"
"17.07.2024","64.510","64.790","65.150","63.740","1.43M","-0.63%"
"16.07.2024","64.920","64.880","65.730","64.510","726.80K","0.05%"
"15.07.2024","64.890","64.940","65.190","64.260","1.57M","-0.09%"
"12.07.2024","64.950","64.000","65.240","63.880","1.08M","1.41%"
"11.07.2024","64.050","64.100","64.610","63.730","1.63M","-0.19%"
"10.07.2024","64.170","63.920","64.390","63.750","2.78M","0.39%"
"09.07.2024","63.920","63.850","64.450","63.210","961.97K","0.65%"
"08.07.2024","63.510","62.560","64.190","62.030","1.50M","1.00%"
"05.07.2024","62.880","63.320","63.590","62.530","1.05M","-0.63%"
"04.07.2024","63.280","63.790","63.820","63.000","187.96K","-0.32%"
"03.07.2024","63.480","63.500","64.490","63.210","1.33M","0.25%"
"02.07.2024","63.320","66.480","66.480","63.050","2.19M","-5.24%"
"01.07.2024","66.820","65.000","67.190","64.030","2.79M","3.42%"
"28.06.2024","64.610","65.950","65.950","63.520","3.09M","-0.90%"
"27.06.2024","65.200","65.530","67.080","64.940","2.86M","-0.43%"
"26.06.2024","65.480","64.540","66.260","64.000","3.92M","1.25%"
"25.06.2024","64.670","66.000","66.000","64.250","4.28M","-1.78%"
"24.06.2024","65.840","68.440","68.700","65.530","3.68M","-3.32%"
"21.06.2024","68.100","69.870","70.790","67.560","10.80M","-3.31%"
"20.06.2024","70.430","69.910","70.600","68.300","1.95M","-0.20%"
"19.06.2024","70.570","69.750","70.790","69.750","1.03M","1.35%"
"18.06.2024","69.630","66.340","71.300","66.340","3.52M","4.68%"
"17.06.2024","66.520","67.020","67.730","66.040","6.33M","-0.75%"
"14.06.2024","67.020","67.690","68.280","66.380","1.24M","-0.89%"
"13.06.2024","67.620","69.790","69.800","67.510","2.24M","-2.63%"
"12.06.2024","69.450","69.480","71.090","68.000","3.72M","0.27%"
"11.06.2024","69.260","70.430","71.190","68.970","4.40M","-2.04%"
"10.06.2024","70.700","68.060","71.410","68.060","2.52M","4.54%"
"07.06.2024","67.630","69.670","70.260","67.500","2.94M","-2.77%"
"06.06.2024","69.560","70.670","72.500","68.540","4.88M","-2.00%"
"05.06.2024","70.980","67.680","71.440","67.540","5.02M","3.58%"
"04.06.2024","68.530","64.030","68.900","64.030","4.15M","7.38%"
"03.06.2024","63.820","63.900","64.730","60.720","4.35M","-0.11%"
"31.05.2024","63.890","65.450","65.570","63.560","8.76M","-2.56%"
"30.05.2024","65.570","65.410","67.280","64.780","3.32M","0.11%"
