"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"22.07.2024","44.360","44.090","44.530","43.690","1.07M","0.91%"
"19.07.2024","43.960","43.650","44.120","43.160","707.15K","2.04%"
"18.07.2024","43.080","43.750","44.670","42.830","1.06M","-1.28%"
"17.07.2024","43.640","43.560","44.100","42.820","2.58M","-0.48%"
"16.07.2024","43.850","44.210","45.000","43.580","1.01M","-0.63%"
"15.07.2024","44.130","45.330","45.400","43.730","1.05M","-3.03%"
"12.07.2024","45.510","44.960","45.700","44.420","1.19M","1.25%"
"11.07.2024","44.950","45.650","45.650","44.160","979.97K","-1.14%"
"10.07.2024","45.470","43.930","45.650","43.350","2.41M","4.99%"
"09.07.2024","43.310","43.950","44.500","43.120","1.22M","-1.95%"
"08.07.2024","44.170","43.510","44.420","42.810","1.86M","1.70%"
"05.07.2024","43.430","44.510","44.560","43.140","934.84K","-2.95%"
"04.07.2024","44.750","44.670","45.290","44.600","53.73K","-0.82%"
"03.07.2024","45.120","43.150","46.010","43.150","1.53M","4.16%"
"02.07.2024","43.320","43.270","44.400","43.200","2.74M","-1.81%"
"01.07.2024","44.120","43.590","44.240","43.220","1.72M","1.50%"
"28.06.2024","43.470","43.550","44.850","42.610","2.64M","0.56%"
"27.06.2024","43.230","43.710","43.940","43.000","1.43M","-1.41%"
"26.06.2024","43.850","43.170","44.240","42.770","2.66M","0.41%"
"25.06.2024","43.670","43.470","43.990","42.100","2.02M","1.13%"
"24.06.2024","43.180","43.130","43.580","42.420","2.56M","0.61%"
"21.06.2024","42.920","43.720","43.780","42.580","12.73M","-1.42%"
"20.06.2024","43.540","42.530","43.790","41.900","1.94M","0.81%"
"19.06.2024","43.190","44.220","44.220","42.560","566.27K","-1.68%"
"18.06.2024","43.930","41.250","45.000","41.250","2.02M","5.68%"
"17.06.2024","41.570","43.000","43.490","41.300","986.91K","-0.86%"
"14.06.2024","41.930","42.280","42.490","41.300","1.92M","-0.07%"
"13.06.2024","41.960","42.830","43.000","41.820","3.25M","-2.74%"
"12.06.2024","43.140","44.150","44.170","42.760","3.01M","-1.82%"
"11.06.2024","43.940","43.260","44.800","42.320","2.58M","1.95%"
"10.06.2024","43.100","44.670","44.730","42.820","1.86M","-3.08%"
"07.06.2024","44.470","46.330","46.800","44.270","2.68M","-4.47%"
"06.06.2024","46.550","47.840","48.980","45.350","2.50M","-0.92%"
"05.06.2024","46.980","44.630","47.120","44.630","2.21M","5.17%"
"04.06.2024","44.670","42.690","45.580","42.690","2.44M","5.16%"
"03.06.2024","42.480","45.590","45.590","41.140","6.48M","-6.82%"
"31.05.2024","45.590","46.120","46.790","45.120","6.19M","-2.48%"
"30.05.2024","46.750","45.410","47.410","45.410","1.38M","1.41%"
"29.05.2024","46.100","46.300","46.880","44.280","1.89M","-0.50%"
"28.05.2024","46.330","45.660","46.930","45.070","1.19M","1.47%"
"27.05.2024","45.660","45.510","45.920","44.980","414.23K","-0.70%"
"24.05.2024","45.980","46.800","46.800","45.800","867.88K","-1.88%"
"23.05.2024","46.860","47.050","47.560","46.600","1.07M","-1.76%"
"22.05.2024","47.700","47.390","47.850","46.670","1.14M","0.27%"
"21.05.2024","47.570","48.010","48.240","46.880","1.58M","-1.88%"
"20.05.2024","48.480","48.950","49.400","48.190","864.95K","-1.04%"
"17.05.2024","48.990","49.800","49.900","48.800","1.52M","-1.11%"
"16.05.2024","49.540","49.560","50.110","48.750","3.23M","0.02%"
"15.05.2024","49.530","48.150","51.000","48.150","1.20M","1.16%"
"14.05.2024","48.960","49.730","49.770","48.690","916.73K","-1.77%"
"13.05.2024","49.840","50.380","51.890","49.610","780.47K","-1.31%"
"10.05.2024","50.500","50.410","51.390","50.200","1.48M","-0.16%"
"09.05.2024","50.580","48.520","51.570","48.520","1.33M","3.16%"
"08.05.2024","49.030","48.980","49.880","48.580","1.08M","0.39%"
"07.05.2024","48.840","48.720","49.230","48.140","942.77K","0.72%"
"06.05.2024","48.490","48.800","49.690","48.370","1.24M","-0.53%"
"03.05.2024","48.750","48.600","49.290","47.310","1.41M","0.64%"
"02.05.2024","48.440","48.200","49.130","47.070","1.42M","2.04%"
"30.04.2024","47.470","48.800","48.810","47.170","1.60M","-2.77%"
