"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"22.07.2024","54,006.92","53,656.17","54,161.08","53,575.13","280.36M","0.61%"
"19.07.2024","53,678.52","53,048.38","53,789.79","52,892.12","131.93M","1.20%"
"18.07.2024","53,043.00","53,803.60","54,044.65","52,923.45","233.24M","-1.31%"
"17.07.2024","53,744.78","54,346.14","54,447.32","53,512.77","237.67M","-1.15%"
"16.07.2024","54,368.00","54,337.22","54,594.69","54,070.81","208.00M","0.10%"
"15.07.2024","54,311.99","54,894.92","55,118.99","54,243.09","177.28M","-1.17%"
"12.07.2024","54,953.11","54,398.61","55,077.96","54,212.69","206.53M","0.97%"
"11.07.2024","54,422.59","54,328.38","54,629.55","54,281.10","176.98M","0.26%"
"10.07.2024","54,279.88","53,409.82","54,342.27","53,349.35","248.59M","1.78%"
"09.07.2024","53,331.81","52,886.07","53,405.57","52,838.63","204.90M","0.80%"
"08.07.2024","52,907.69","52,227.48","53,020.03","52,214.51","217.41M","1.10%"
"05.07.2024","52,333.16","52,703.12","52,770.47","52,216.90","167.39M","-0.61%"
"04.07.2024","52,654.85","52,817.56","52,974.24","52,572.78","20.48M","-0.27%"
"03.07.2024","52,796.26","52,057.26","53,054.17","52,036.02","139.48M","1.63%"
"02.07.2024","51,947.89","52,842.66","53,126.97","51,802.50","264.36M","-1.77%"
"01.07.2024","52,883.97","52,452.44","53,159.30","52,452.44","197.51M","0.85%"
"28.06.2024","52,440.02","52,455.93","52,780.32","51,980.72","243.72M","0.25%"
"27.06.2024","52,310.96","52,284.12","52,470.77","52,082.76","273.03M","-0.30%"
"26.06.2024","52,468.01","52,630.45","52,779.66","51,993.92","298.61M","-0.26%"
"25.06.2024","52,604.05","52,472.32","52,690.10","51,847.71","273.49M","0.17%"
"24.06.2024","52,512.91","52,741.54","53,136.73","52,388.42","218.20M","-0.52%"
"21.06.2024","52,788.50","53,370.23","53,405.11","52,698.68","1.11B","-1.02%"
"20.06.2024","53,333.03","53,202.65","53,414.15","52,819.54","204.98M","0.02%"
"19.06.2024","53,323.37","53,220.38","53,389.80","53,190.56","32.77M","0.25%"
"18.06.2024","53,191.25","52,341.32","53,547.49","52,271.75","183.42M","1.52%"
"17.06.2024","52,397.20","52,247.33","52,438.78","52,000.77","170.04M","0.33%"
"14.06.2024","52,222.94","52,218.93","52,482.81","51,872.13","268.21M","-0.10%"
"13.06.2024","52,275.65","52,978.19","53,072.21","52,209.61","212.34M","-1.32%"
"12.06.2024","52,975.89","53,220.09","53,767.39","52,928.94","257.82M","-0.30%"
"11.06.2024","53,134.06","53,184.54","53,567.24","52,624.87","241.23M","0.02%"
"10.06.2024","53,122.58","52,989.20","53,652.32","52,989.20","209.60M","0.27%"
"07.06.2024","52,977.32","54,477.62","54,788.32","52,887.25","281.30M","-2.75%"
"06.06.2024","54,477.25","54,427.75","55,730.31","54,038.61","300.81M","0.12%"
"05.06.2024","54,410.51","53,467.37","54,536.16","53,306.80","298.60M","1.73%"
"04.06.2024","53,485.62","51,894.32","53,683.23","51,894.32","339.30M","3.13%"
"03.06.2024","51,863.39","54,967.91","55,197.11","51,358.97","300.10M","-6.01%"
"31.05.2024","55,179.24","55,253.50","55,588.20","54,839.26","755.40M","-0.31%"
"30.05.2024","55,352.56","55,169.90","55,683.57","54,768.40","232.59M","0.25%"
"29.05.2024","55,212.64","55,120.56","55,458.43","54,352.15","247.66M","0.05%"
"28.05.2024","55,184.95","55,452.80","55,526.26","55,078.44","153.19M","-0.48%"
"27.05.2024","55,452.88","55,428.24","55,551.24","55,120.48","30.73M","0.07%"
"24.05.2024","55,413.12","55,860.95","55,908.65","55,368.21","148.85M","-0.90%"
"23.05.2024","55,918.38","56,342.20","56,407.03","55,857.91","154.66M","-0.91%"
"22.05.2024","56,432.03","56,653.09","56,656.63","56,148.63","156.40M","-0.58%"
"21.05.2024","56,760.72","57,286.59","57,286.59","56,638.15","175.21M","-1.10%"
"20.05.2024","57,393.28","57,604.25","57,725.82","57,270.53","137.31M","-0.33%"
"17.05.2024","57,583.08","57,506.49","57,847.38","57,385.25","109.27M","0.21%"
"16.05.2024","57,462.17","57,388.21","57,721.48","57,232.31","188.20M","0.01%"
"15.05.2024","57,454.65","57,284.92","58,135.03","57,283.06","174.21M","0.39%"
"14.05.2024","57,231.74","57,890.03","57,896.18","57,127.46","225.45M","-0.87%"
"13.05.2024","57,731.12","57,735.01","58,169.69","57,664.13","121.76M","0.02%"
"10.05.2024","57,718.04","57,836.59","58,090.25","57,627.96","215.42M","-0.22%"
"09.05.2024","57,846.08","57,118.14","58,063.08","57,001.53","188.27M","1.34%"
"08.05.2024","57,081.00","57,055.52","57,249.77","56,661.76","263.55M","-0.05%"
"07.05.2024","57,108.32","57,376.07","57,445.99","56,844.03","297.80M","-0.30%"
"06.05.2024","57,282.95","57,204.53","57,559.09","57,127.03","174.10M","0.26%"
"03.05.2024","57,135.26","56,706.23","57,258.41","56,668.74","175.06M","0.81%"
"02.05.2024","56,677.05","56,766.40","57,021.78","56,607.30","249.95M","-0.09%"
"30.04.2024","56,727.98","57,835.50","57,835.50","56,670.53","307.13M","-1.90%"
"29.04.2024","57,827.86","57,890.49","58,110.37","57,512.60","222.98M","-0.01%"
"26.04.2024","57,833.85","57,072.96","58,002.17","56,870.17","156.98M","1.34%"
"25.04.2024","57,071.78","56,619.09","57,282.33","56,207.45","264.90M","1.08%"
"24.04.2024","56,463.99","56,622.16","56,827.02","56,188.89","254.69M","-0.30%"
"23.04.2024","56,633.75","56,564.58","56,906.80","56,300.36","204.29M","0.14%"
"22.04.2024","56,551.90","55,852.28","56,615.88","55,771.55","183.16M","1.23%"
"19.04.2024","55,862.85","55,811.19","56,036.72","55,579.69","138.62M","0.22%"
"18.04.2024","55,739.43","55,597.79","55,941.62","55,585.82","208.67M","0.58%"
"17.04.2024","55,415.69","55,788.74","56,090.32","55,383.25","244.26M","-0.68%"
"16.04.2024","55,797.25","56,009.73","56,148.00","55,626.75","225.86M","-0.33%"
"15.04.2024","55,984.00","56,536.47","56,709.12","55,924.10","170.65M","-1.03%"
"12.04.2024","56,565.92","56,918.48","57,272.70","56,497.88","147.84M","-0.47%"
"11.04.2024","56,830.32","56,696.32","56,876.65","56,485.96","200.97M","0.34%"
"10.04.2024","56,636.54","57,541.86","57,541.86","56,374.63","210.38M","-1.62%"
"09.04.2024","57,571.15","58,010.37","58,298.77","57,492.06","202.21M","-0.72%"
"08.04.2024","57,989.94","58,021.66","58,192.32","57,749.44","154.64M","-0.18%"
"05.04.2024","58,092.44","57,805.19","58,227.84","57,678.61","212.25M","0.36%"
"04.04.2024","57,882.76","57,539.47","58,219.50","57,514.18","184.74M","0.66%"
"03.04.2024","57,503.39","57,547.19","58,086.42","57,300.11","189.29M","-0.14%"
"02.04.2024","57,581.81","57,593.62","57,830.88","57,235.59","180.75M","-0.12%"
"01.04.2024","57,653.23","57,423.51","57,726.82","57,291.95","165.03M","0.50%"
"27.03.2024","57,369.01","57,182.86","57,599.08","57,007.55","114.25M","0.28%"
"26.03.2024","57,209.70","56,634.85","57,422.25","56,435.27","125.01M","1.16%"
"25.03.2024","56,552.54","56,565.11","56,820.30","56,311.99","89.28M","-0.10%"
"22.03.2024","56,610.54","56,676.82","56,805.66","56,517.40","170.06M","-0.08%"
"21.03.2024","56,657.44","56,715.25","57,015.82","56,544.05","197.84M","0.07%"
"20.03.2024","56,618.01","55,543.70","56,921.96","55,416.19","172.30M","1.93%"
"19.03.2024","55,548.07","56,137.15","56,137.15","55,494.10","194.97M","-1.21%"
"15.03.2024","56,228.40","56,163.26","56,575.51","55,855.16","935.20M","0.30%"
