"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"22.07.2024","165.60","160.22","165.98","160.22","863.54K","3.36%"
"19.07.2024","160.22","154.38","160.67","151.84","881.41K","3.58%"
"18.07.2024","154.68","155.31","156.76","154.26","659.84K","-0.76%"
"17.07.2024","155.86","154.67","156.43","153.49","427.28K","0.32%"
"16.07.2024","155.36","152.57","156.72","152.57","352.09K","1.32%"
"15.07.2024","153.33","155.47","156.13","152.84","638.42K","-2.70%"
"12.07.2024","157.59","152.47","158.13","152.47","489.10K","2.85%"
"11.07.2024","153.23","151.07","153.50","151.07","381.57K","0.70%"
"10.07.2024","152.17","149.33","152.52","147.90","745.44K","1.91%"
"09.07.2024","149.32","151.73","151.73","148.88","257.80K","-1.12%"
"08.07.2024","151.01","149.01","151.63","147.88","367.39K","1.40%"
"05.07.2024","148.93","152.95","152.95","147.38","355.90K","-3.08%"
"04.07.2024","153.66","151.73","154.00","151.73","36.68K","1.34%"
"03.07.2024","151.63","148.11","153.29","147.87","560.33K","2.43%"
"02.07.2024","148.03","152.25","152.77","147.73","1.16M","-3.11%"
"01.07.2024","152.78","155.32","156.95","151.77","614.24K","-2.61%"
"28.06.2024","156.87","156.18","157.36","153.38","1.27M","0.57%"
"27.06.2024","155.98","154.26","156.64","154.17","907.79K","1.83%"
"26.06.2024","153.18","154.45","157.21","152.74","1.06M","-0.55%"
"25.06.2024","154.03","151.21","154.57","149.75","758.29K","1.40%"
"24.06.2024","151.90","151.24","154.84","150.54","909.88K","0.75%"
"21.06.2024","150.77","155.12","155.34","149.77","5.73M","-2.80%"
"20.06.2024","155.12","157.50","157.94","153.88","403.77K","-1.60%"
"19.06.2024","157.64","157.81","160.60","156.67","84.50K","0.22%"
"18.06.2024","157.30","157.19","159.19","155.68","383.34K","0.42%"
"17.06.2024","156.64","157.50","157.54","155.00","209.96K","-0.03%"
"14.06.2024","156.68","158.67","159.17","155.22","365.71K","-1.11%"
"13.06.2024","158.44","161.12","161.67","157.92","521.77K","-2.16%"
"12.06.2024","161.94","163.85","165.83","161.26","844.22K","-0.18%"
"11.06.2024","162.24","160.74","163.66","160.42","729.00K","0.46%"
"10.06.2024","161.50","166.68","167.28","161.23","655.25K","-2.30%"
"07.06.2024","165.30","164.98","167.37","164.19","571.37K","-0.17%"
"06.06.2024","165.58","163.37","167.44","163.27","895.06K","1.48%"
"05.06.2024","163.16","161.52","164.30","159.26","848.32K","1.02%"
"04.06.2024","161.52","157.84","162.00","155.64","1.32M","3.23%"
"03.06.2024","156.47","158.60","162.30","155.66","1.10M","-1.16%"
"31.05.2024","158.31","160.38","160.88","157.35","5.92M","-1.49%"
"30.05.2024","160.71","160.53","161.83","158.60","569.33K","0.02%"
"29.05.2024","160.67","158.20","162.33","157.34","781.53K","1.48%"
"28.05.2024","158.32","156.90","159.47","156.85","482.63K","1.70%"
"27.05.2024","155.68","157.48","158.05","153.47","172.39K","-1.61%"
"24.05.2024","158.23","161.23","161.24","158.00","367.90K","-1.70%"
"23.05.2024","160.96","158.20","161.20","158.11","752.52K","1.09%"
"22.05.2024","159.23","161.53","161.53","157.48","482.52K","-1.41%"
"21.05.2024","161.51","161.59","161.93","159.05","390.80K","-0.06%"
"20.05.2024","161.60","162.32","162.32","160.34","324.58K","-0.44%"
"17.05.2024","162.32","163.71","163.84","161.81","451.37K","-0.88%"
"16.05.2024","163.76","166.60","166.60","160.74","531.68K","-2.49%"
"15.05.2024","167.94","169.00","170.84","167.22","424.11K","-0.68%"
"14.05.2024","169.09","169.79","170.32","168.51","310.48K","-0.28%"
"13.05.2024","169.56","168.15","170.80","167.93","177.13K","0.78%"
"10.05.2024","168.25","169.17","169.95","167.56","412.37K","-0.80%"
"09.05.2024","169.61","168.51","171.00","168.51","381.94K","0.78%"
"08.05.2024","168.30","167.79","169.40","167.01","417.58K","0.30%"
"07.05.2024","167.79","163.78","168.46","163.27","415.04K","2.63%"
"06.05.2024","163.49","167.11","167.27","162.82","371.75K","-2.09%"
"03.05.2024","166.98","165.95","168.57","165.36","833.86K","0.36%"
"02.05.2024","166.38","167.75","167.75","164.94","1.12M","-2.10%"
"30.04.2024","169.95","171.28","171.99","169.49","536.19K","-0.85%"
"29.04.2024","171.40","171.74","172.07","169.47","317.91K","0.13%"
"26.04.2024","171.17","170.87","172.02","169.30","353.65K","0.68%"
"25.04.2024","170.01","167.00","170.93","163.50","553.16K","4.09%"
"24.04.2024","163.33","160.66","166.00","159.82","678.57K","1.92%"
"23.04.2024","160.25","162.57","162.75","158.95","502.43K","-1.63%"
"22.04.2024","162.90","160.29","163.64","159.37","469.08K","1.86%"
"19.04.2024","159.92","161.38","162.20","159.34","223.82K","0.41%"
"18.04.2024","159.27","155.69","159.65","155.69","822.25K","2.32%"
"17.04.2024","155.66","159.00","159.00","155.18","412.51K","-1.72%"
"16.04.2024","158.39","158.94","159.04","156.65","553.84K","-0.36%"
"15.04.2024","158.96","163.00","163.00","158.48","581.61K","-2.23%"
"12.04.2024","162.58","157.25","163.53","157.12","777.47K","3.78%"
"11.04.2024","156.66","154.78","156.92","152.88","658.93K","1.63%"
"10.04.2024","154.14","155.24","155.24","152.42","516.03K","-0.70%"
"09.04.2024","155.23","156.29","157.93","154.67","264.53K","-1.09%"
"08.04.2024","156.94","156.05","158.49","155.65","234.19K","-0.24%"
"05.04.2024","157.32","159.00","159.66","156.58","437.77K","-1.43%"
"04.04.2024","159.60","155.68","159.89","155.46","974.07K","2.78%"
"03.04.2024","155.28","157.90","159.85","155.02","505.88K","-1.69%"
"02.04.2024","157.95","160.07","160.07","154.80","671.66K","-1.37%"
"01.04.2024","160.14","160.99","162.26","158.56","572.81K","-0.15%"
"27.03.2024","160.38","160.17","160.88","158.01","441.32K","0.44%"
"26.03.2024","159.68","159.53","160.80","158.73","253.79K","0.85%"
"25.03.2024","158.33","162.36","162.36","158.00","229.90K","-2.40%"
"22.03.2024","162.23","162.55","162.96","160.20","1.51M","-0.09%"
"21.03.2024","162.38","164.23","165.61","162.04","272.00K","-0.81%"
"20.03.2024","163.71","163.20","164.51","161.97","353.87K","0.91%"
"19.03.2024","162.23","165.00","166.00","161.95","732.41K","-1.24%"
"15.03.2024","164.26","167.00","167.47","163.38","5.03M","-1.40%"
"14.03.2024","166.60","166.33","168.31","165.66","407.79K","0.13%"
"13.03.2024","166.38","164.61","166.81","164.12","609.71K","0.75%"
"12.03.2024","165.14","162.85","166.00","162.62","357.47K","2.10%"
"11.03.2024","161.74","161.09","163.07","160.29","204.35K","0.47%"
"08.03.2024","160.99","161.76","162.46","159.80","224.93K","-1.00%"
"07.03.2024","162.61","162.97","163.45","161.08","234.85K","0.00%"
"06.03.2024","162.61","165.48","167.76","162.08","415.49K","-1.20%"
"05.03.2024","164.58","162.97","165.78","162.97","384.29K","1.50%"
"04.03.2024","162.14","164.43","165.15","161.91","334.99K","-1.50%"
"01.03.2024","164.61","165.99","166.77","164.41","390.18K","-1.05%"
"29.02.2024","166.36","166.49","168.71","164.98","1.25M","0.93%"
"28.02.2024","164.82","169.63","170.37","163.52","529.53K","-3.82%"
"27.02.2024","171.37","168.54","173.20","168.18","497.63K","1.68%"
"26.02.2024","168.54","169.34","169.82","168.28","305.40K","-0.67%"
"23.02.2024","169.67","172.99","172.99","166.23","348.95K","-1.61%"
