"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"22.07.2024","8.67","8.69","8.84","8.54","2.23M","-0.34%"
"19.07.2024","8.70","8.66","8.80","8.46","1.76M","-0.46%"
"18.07.2024","8.74","8.88","9.11","8.71","1.79M","-0.91%"
"17.07.2024","8.82","9.22","9.27","8.71","1.87M","-3.71%"
"16.07.2024","9.16","9.09","9.29","9.03","1.34M","0.88%"
"15.07.2024","9.08","9.34","9.39","9.04","1.55M","-1.73%"
"12.07.2024","9.24","9.21","9.35","9.12","1.28M","0.76%"
"11.07.2024","9.17","9.34","9.45","9.13","1.47M","-1.19%"
"10.07.2024","9.28","9.60","9.65","9.22","4.08M","-3.43%"
"09.07.2024","9.61","9.62","9.75","9.51","2.73M","-1.13%"
"08.07.2024","9.72","9.49","9.79","9.43","7.38M","2.42%"
"05.07.2024","9.49","9.77","9.82","9.43","2.82M","-2.16%"
"04.07.2024","9.70","9.70","9.75","9.50","260.86K","1.25%"
"03.07.2024","9.58","9.62","9.85","9.46","1.17M","0.00%"
"02.07.2024","9.58","9.90","9.94","9.49","2.67M","-3.72%"
"01.07.2024","9.95","10.05","10.12","9.88","1.31M","-0.50%"
"28.06.2024","10.00","10.06","10.25","9.83","2.27M","0.40%"
"27.06.2024","9.96","10.00","10.11","9.89","2.02M","-0.10%"
"26.06.2024","9.97","9.75","10.06","9.64","2.57M","2.57%"
"25.06.2024","9.72","10.05","10.07","9.63","4.24M","-2.80%"
"24.06.2024","10.00","10.02","10.09","9.80","3.08M","0.70%"
"21.06.2024","9.93","10.50","10.50","9.86","19.46M","-5.61%"
"20.06.2024","10.52","10.10","10.57","10.04","2.16M","4.89%"
"19.06.2024","10.03","10.19","10.25","9.98","423.88K","-0.69%"
"18.06.2024","10.10","9.87","10.52","9.87","5.62M","2.33%"
"17.06.2024","9.87","9.87","9.97","9.61","1.56M","0.71%"
"14.06.2024","9.80","9.97","10.20","9.77","3.25M","0.00%"
"13.06.2024","9.80","10.28","10.28","9.73","4.72M","-4.02%"
"12.06.2024","10.21","10.60","10.72","10.05","8.61M","-2.58%"
"11.06.2024","10.48","10.30","10.53","10.16","3.29M","1.16%"
"10.06.2024","10.36","10.45","10.60","10.30","2.17M","-0.77%"
"07.06.2024","10.44","10.47","10.75","10.12","3.03M","-1.32%"
"06.06.2024","10.58","10.56","10.80","10.41","3.66M","0.28%"
"05.06.2024","10.55","10.66","10.90","10.50","3.09M","-1.22%"
"04.06.2024","10.68","10.71","11.09","10.58","3.75M","0.75%"
"03.06.2024","10.60","11.00","11.52","10.30","11.02M","-4.59%"
"31.05.2024","11.11","11.14","11.35","10.93","10.77M","0.18%"
"30.05.2024","11.09","10.86","11.25","10.70","12.60M","1.46%"
"29.05.2024","10.93","10.59","10.97","10.55","2.23M","2.53%"
"28.05.2024","10.66","10.61","10.87","10.56","685.10K","-1.11%"
"27.05.2024","10.78","10.96","10.96","10.26","484.15K","1.89%"
"24.05.2024","10.58","10.60","10.77","10.55","962.33K","-0.75%"
"23.05.2024","10.66","10.89","10.89","10.50","1.25M","-0.84%"
"22.05.2024","10.75","10.91","11.03","10.70","2.09M","-1.92%"
"21.05.2024","10.96","11.29","11.29","10.88","1.31M","-2.84%"
"20.05.2024","11.28","11.05","11.34","11.00","850.94K","1.90%"
"17.05.2024","11.07","11.12","11.14","10.80","2.31M","-0.36%"
"16.05.2024","11.11","11.06","11.25","10.93","774.44K","-0.27%"
"15.05.2024","11.14","11.02","11.38","11.00","1.63M","0.63%"
"14.05.2024","11.07","11.19","11.44","11.00","685.40K","-0.72%"
"13.05.2024","11.15","11.15","11.44","11.09","2.73M","0.36%"
"10.05.2024","11.11","11.11","11.16","10.90","3.17M","-0.27%"
"09.05.2024","11.14","10.96","11.30","10.81","1.08M","1.55%"
"08.05.2024","10.97","10.92","11.10","10.80","1.28M","-1.35%"
"07.05.2024","11.12","11.03","11.28","10.71","2.59M","0.72%"
"06.05.2024","11.04","10.80","11.22","10.68","3.41M","2.03%"
"03.05.2024","10.82","10.21","10.87","10.21","2.28M","5.46%"
"02.05.2024","10.26","10.41","10.51","9.94","5.11M","1.28%"
"30.04.2024","10.13","10.59","10.78","10.07","1.91M","-6.03%"
"29.04.2024","10.78","10.75","10.83","10.45","1.51M","0.09%"
"26.04.2024","10.77","10.20","10.82","9.99","2.27M","6.21%"
"25.04.2024","10.14","9.79","10.20","9.67","1.57M","2.01%"
"24.04.2024","9.94","10.05","10.09","9.83","1.06M","-1.68%"
"23.04.2024","10.11","9.86","10.21","9.73","1.40M","2.54%"
"22.04.2024","9.86","9.60","9.94","9.48","1.82M","3.35%"
"19.04.2024","9.54","9.78","9.85","9.33","1.97M","-1.95%"
"18.04.2024","9.73","9.95","10.09","9.71","1.98M","-0.92%"
"17.04.2024","9.82","10.34","10.44","9.70","5.30M","-4.94%"
"16.04.2024","10.33","10.59","10.74","10.20","1.93M","-3.10%"
"15.04.2024","10.66","10.95","10.95","10.42","2.09M","-1.57%"
"12.04.2024","10.83","11.09","11.22","10.66","2.29M","-2.08%"
"11.04.2024","11.06","11.11","11.35","10.76","2.19M","1.37%"
"10.04.2024","10.91","10.95","10.96","10.60","1.73M","0.09%"
"09.04.2024","10.90","11.04","11.30","10.73","1.06M","-0.82%"
"08.04.2024","10.99","10.88","11.04","10.76","810.74K","1.29%"
"05.04.2024","10.85","10.78","10.94","10.46","1.65M","0.37%"
"04.04.2024","10.81","10.91","11.29","10.70","2.51M","-0.92%"
"03.04.2024","10.91","10.39","11.11","10.39","1.61M","5.21%"
"02.04.2024","10.37","10.40","10.44","10.16","1.22M","-0.10%"
"01.04.2024","10.38","10.32","10.55","10.29","2.26M","0.00%"
"27.03.2024","10.38","10.40","10.48","10.25","737.19K","0.29%"
"26.03.2024","10.35","10.31","10.41","10.18","718.46K","0.98%"
"25.03.2024","10.25","9.97","10.51","9.97","1.75M","2.30%"
"22.03.2024","10.02","9.92","10.10","9.77","1.17M","1.73%"
"21.03.2024","9.85","10.02","10.21","9.68","1.19M","-0.91%"
"20.03.2024","9.94","9.90","9.98","9.57","1.74M","2.58%"
"19.03.2024","9.69","9.51","9.80","9.51","1.39M","1.57%"
"15.03.2024","9.54","9.66","9.90","9.49","26.03M","-1.45%"
"14.03.2024","9.68","9.87","9.97","9.62","5.16M","-1.53%"
"13.03.2024","9.83","9.75","9.94","9.63","2.30M","1.13%"
"12.03.2024","9.72","9.94","9.94","9.63","1.94M","-2.61%"
"11.03.2024","9.98","9.89","10.05","9.88","873.23K","0.40%"
"08.03.2024","9.94","10.00","10.13","9.86","1.69M","0.00%"
"07.03.2024","9.94","10.00","10.09","9.88","1.41M","-0.50%"
"06.03.2024","9.99","10.12","10.16","9.92","2.03M","-0.70%"
"05.03.2024","10.06","10.01","10.13","9.84","1.94M","-0.10%"
"04.03.2024","10.07","10.20","10.20","9.97","4.12M","-0.79%"
"01.03.2024","10.15","10.25","10.48","9.87","5.04M","-0.39%"
"29.02.2024","10.19","10.14","10.36","9.86","8.55M","0.69%"
"28.02.2024","10.12","10.75","10.83","10.09","2.15M","-5.77%"
"27.02.2024","10.74","10.48","10.94","10.48","2.48M","-1.01%"
"26.02.2024","10.85","10.85","10.98","10.75","1.15M","-0.82%"
"23.02.2024","10.94","10.91","11.09","10.75","2.70M","0.00%"
"22.02.2024","10.94","11.37","11.80","10.90","2.52M","-4.12%"
"21.02.2024","11.41","11.17","11.50","11.00","3.35M","2.15%"
"20.02.2024","11.17","10.86","11.30","10.40","5.51M","2.90%"
"19.02.2024","10.86","10.76","10.92","10.49","399.33K","-0.09%"
"16.02.2024","10.86","9.89","11.11","9.78","7.90M","10.11%"
"15.02.2024","9.87","9.82","10.05","9.73","3.30M","0.78%"
"14.02.2024","9.79","9.80","10.11","9.70","1.70M","-0.10%"
"13.02.2024","9.80","9.94","9.94","9.76","1.77M","-1.43%"
"12.02.2024","9.94","9.71","10.10","9.71","3.02M","2.45%"
"09.02.2024","9.71","9.91","10.07","9.65","4.44M","-1.64%"
"08.02.2024","9.87","10.30","10.41","9.80","2.45M","-4.59%"
"07.02.2024","10.34","10.21","10.38","10.02","4.13M","1.02%"
"06.02.2024","10.24","10.13","10.32","9.70","2.90M","0.94%"
"02.02.2024","10.14","9.96","10.21","9.89","1.47M","1.42%"
"01.02.2024","10.00","9.98","10.10","9.79","2.91M","1.45%"
"31.01.2024","9.86","10.19","10.31","9.81","5.78M","-4.07%"
"30.01.2024","10.28","10.48","10.49","10.17","2.96M","-1.46%"
"29.01.2024","10.43","10.48","10.87","10.31","6.26M","0.00%"
"26.01.2024","10.43","9.63","10.89","9.63","11.16M","8.28%"
"25.01.2024","9.63","9.39","9.82","9.18","6.65M","2.53%"
"24.01.2024","9.39","9.58","9.76","9.34","2.77M","-1.59%"
"23.01.2024","9.54","9.34","9.58","9.31","932.69K","2.24%"
"22.01.2024","9.34","9.11","9.40","9.11","1.23M","2.93%"
"19.01.2024","9.07","8.54","9.09","8.51","1.61M","7.18%"
"18.01.2024","8.46","8.59","8.69","8.40","2.38M","-1.11%"
"17.01.2024","8.56","8.91","8.95","8.55","5.13M","-3.53%"
